rowid,study_name,individual_id,complete_clutch,date_egg,delta_15_n,delta_13_c,comments
150,PAL0910,N84A2,Yes,11/17/09,8.97533,-26.03495,
151,PAL0910,N85A1,Yes,11/17/09,8.93465,-26.07081,
152,PAL0910,N85A2,Yes,11/17/09,8.8964,-26.06967,
153,PAL0708,N31A1,Yes,11/27/07,7.993,-25.5139,
154,PAL0708,N31A2,Yes,11/27/07,8.14756,-25.39369,
155,PAL0708,N32A1,Yes,11/27/07,8.14705,-25.46172,
156,PAL0708,N32A2,Yes,11/27/07,8.2554,-25.40075,
157,PAL0708,N33A1,Yes,11/18/07,8.2345,-25.54456,
158,PAL0708,N33A2,Yes,11/18/07,7.9953,-25.32829,
159,PAL0708,N34A1,Yes,11/27/07,8.24515,-25.46782,
160,PAL0708,N34A2,Yes,11/27/07,8.22673,-25.4276,
161,PAL0708,N35A1,Yes,11/27/07,8.13643,-25.32176,
162,PAL0708,N35A2,Yes,11/27/07,8.1631,-25.38017,
163,PAL0708,N36A1,No,11/27/07,8.19579,-25.3933,
164,PAL0708,N36A2,No,11/27/07,8.10417,-25.50562,
165,PAL0708,N37A1,Yes,11/29/07,7.77672,-25.4168,
166,PAL0708,N37A2,Yes,11/29/07,7.8208,-25.48025,
167,PAL0708,N38A1,Yes,12/3/07,7.79958,-25.62618,
168,PAL0708,N38A2,Yes,12/3/07,8.07137,-25.52473,
169,PAL0708,N39A1,Yes,11/27/07,7.63884,-25.52627,
170,PAL0708,N39A2,Yes,11/27/07,8.27376,-25.00169,
171,PAL0708,N40A1,Yes,11/27/07,7.84057,-25.37899,
172,PAL0708,N40A2,Yes,11/27/07,7.96491,-25.39587,
173,PAL0708,N41A1,Yes,11/27/07,7.8962,-25.37746,
174,PAL0708,N41A2,Yes,11/27/07,7.6322,-25.46569,
175,PAL0708,N42A1,Yes,11/27/07,7.90436,-25.3947,
176,PAL0708,N42A2,Yes,11/27/07,7.90971,-25.38157,
177,PAL0708,N44A1,Yes,11/29/07,7.68528,-25.39181,
178,PAL0708,N44A2,Yes,11/29/07,7.83733,-25.42826,
179,PAL0708,N46A1,Yes,11/29/07,7.96621,-25.69327,
180,PAL0708,N46A2,Yes,11/29/07,7.92358,-25.48383,
181,PAL0708,N47A1,Yes,11/29/07,7.6887,-25.50811,
182,PAL0708,N47A2,Yes,11/29/07,8.30515,-25.19017,
183,PAL0708,N50A1,Yes,11/29/07,,,
184,PAL0708,N50A2,Yes,11/29/07,7.63452,-25.46327,
185,PAL0708,N56A1,Yes,12/3/07,7.97408,-25.53768,
186,PAL0708,N56A2,Yes,12/3/07,7.76843,-25.6821,
187,PAL0809,N2A1,Yes,11/13/08,7.89744,-26.63405,
188,PAL0809,N2A2,Yes,11/13/08,8.03659,-26.86127,
189,PAL0809,N4A1,Yes,11/2/08,7.96935,-26.70968,
190,PAL0809,N4A2,Yes,11/2/08,8.13746,-26.79093,
191,PAL0809,N5A1,Yes,11/9/08,8.01979,-26.68311,
192,PAL0809,N5A2,Yes,11/9/08,8.14776,-26.84506,
193,PAL0809,N6A1,No,11/4/08,8.14567,-26.59467,
194,PAL0809,N6A2,No,11/4/08,8.38324,-26.84272,
195,PAL0809,N7A1,Yes,11/4/08,8.37615,-26.72791,
196,PAL0809,N7A2,Yes,11/4/08,8.26548,-26.7699,
197,PAL0809,N8A1,Yes,11/3/08,8.46894,-26.60436,
198,PAL0809,N8A2,Yes,11/3/08,8.27141,-26.7765,
199,PAL0809,N11A1,No,11/9/08,8.47829,-26.61788,
200,PAL0809,N11A2,No,11/9/08,8.65803,-26.57585,
201,PAL0809,N12A1,Yes,11/2/08,8.45167,-26.89644,
202,PAL0809,N12A2,Yes,11/2/08,8.55868,-26.67799,
203,PAL0809,N13A1,Yes,11/4/08,8.38289,-26.86352,
204,PAL0809,N13A2,Yes,11/4/08,8.39867,-26.79358,
205,PAL0809,N14A1,Yes,11/4/08,8.51951,-27.01854,
206,PAL0809,N14A2,Yes,11/4/08,8.50153,-26.61414,
207,PAL0809,N15A1,Yes,11/4/08,8.48789,-26.83006,
208,PAL0809,N15A2,Yes,11/4/08,8.63488,-26.75621,
209,PAL0809,N16A1,Yes,11/3/08,8.58319,-26.84415,
210,PAL0809,N16A2,Yes,11/3/08,8.63604,-26.7489,
211,PAL0809,N17A1,Yes,11/6/08,8.48367,-26.86485,
212,PAL0809,N17A2,Yes,11/6/08,8.74647,-26.79846,
213,PAL0809,N18A1,Yes,11/3/08,8.65015,-26.79053,
214,PAL0809,N18A2,Yes,11/3/08,8.60092,-26.84374,
215,PAL0809,N19A1,Yes,11/13/08,8.6287,-26.60484,
216,PAL0809,N19A2,Yes,11/13/08,8.49662,-26.84166,
217,PAL0809,N20A1,Yes,11/4/08,8.60447,-26.61601,
218,PAL0809,N20A2,Yes,11/4/08,8.47067,-26.69166,
219,PAL0809,N51A1,Yes,11/9/08,8.24253,-26.8154,
220,PAL0809,N51A2,Yes,11/9/08,8.49854,-26.74809,
221,PAL0809,N53A1,Yes,11/13/08,8.64931,-26.68867,
222,PAL0809,N53A2,Yes,11/13/08,8.63551,-26.74249,
223,PAL0809,N54A1,Yes,11/3/08,8.53018,-26.72751,
224,PAL0809,N54A2,Yes,11/3/08,8.35078,-26.70783,
225,PAL0809,N55A1,Yes,11/9/08,8.24651,-26.66958,
226,PAL0809,N55A2,Yes,11/9/08,8.58487,-26.5929,
227,PAL0809,N56A1,Yes,11/6/08,8.47938,-26.9547,
228,PAL0809,N56A2,Yes,11/6/08,8.5964,-26.71199,
229,PAL0809,N58A1,Yes,11/6/08,8.39299,-26.78733,
230,PAL0809,N58A2,Yes,11/6/08,8.40327,-26.76821,
231,PAL0809,N60A1,Yes,11/9/08,8.24694,-26.65359,
232,PAL0809,N60A2,Yes,11/9/08,8.19749,-26.65931,
233,PAL0910,N1A1,Yes,11/18/09,8.35802,-26.2766,
234,PAL0910,N1A2,Yes,11/18/09,8.28601,-26.27573,
235,PAL0910,N6A1,Yes,11/15/09,8.19101,-26.24369,
236,PAL0910,N6A2,Yes,11/15/09,8.20042,-26.39677,
237,PAL0910,N8A1,Yes,11/22/09,8.11238,-26.20372,
238,PAL0910,N8A2,Yes,11/22/09,8.27428,-26.30019,
239,PAL0910,N13A1,Yes,11/20/09,8.23468,-26.18599,
240,PAL0910,N13A2,Yes,11/20/09,8.15426,-26.3433,
241,PAL0910,N14A1,Yes,11/25/09,8.12691,-26.23613,
242,PAL0910,N14A2,Yes,11/25/09,8.27595,-26.11657,
243,PAL0910,N15A1,Yes,11/25/09,8.29671,-26.08547,
244,PAL0910,N15A2,Yes,11/25/09,8.36701,-25.89834,
245,PAL0910,N18A1,Yes,12/1/09,8.15566,-26.22848,
246,PAL0910,N18A2,Yes,12/1/09,8.83352,-25.69195,
247,PAL0910,N19A1,Yes,11/27/09,8.20106,-26.16524,
248,PAL0910,N19A2,Yes,11/27/09,8.27102,-26.11244,
249,PAL0910,N20A1,Yes,11/18/09,8.03624,-26.06594,
250,PAL0910,N20A2,Yes,11/18/09,7.8881,-26.04726,
251,PAL0910,N21A1,Yes,11/18/09,8.16582,-26.13971,
252,PAL0910,N21A2,Yes,11/18/09,8.2066,-26.36863,
253,PAL0910,N22A1,Yes,11/22/09,8.10231,-26.18763,
254,PAL0910,N22A2,Yes,11/22/09,8.3118,-26.35425,
255,PAL0910,N23A1,Yes,11/18/09,8.30817,-26.21651,
256,PAL0910,N23A2,Yes,11/18/09,8.65914,-25.79203,
257,PAL0910,N24A1,Yes,12/1/09,8.25818,-26.23886,
258,PAL0910,N24A2,Yes,12/1/09,8.32359,-26.05756,
259,PAL0910,N28A1,Yes,11/10/09,8.12311,-26.44815,
260,PAL0910,N28A2,Yes,11/10/09,8.41017,-26.33867,
261,PAL0910,N29A1,Yes,11/9/09,8.4207,-26.38092,
262,PAL0910,N29A2,Yes,11/9/09,8.45738,-26.22664,
263,PAL0910,N32A1,Yes,11/20/09,8.24691,-26.18466,
264,PAL0910,N32A2,Yes,11/20/09,8.29226,-26.21019,
265,PAL0910,N34A1,Yes,11/27/09,8.21634,-26.11046,
266,PAL0910,N34A2,Yes,11/27/09,8.78557,-25.76147,
267,PAL0910,N35A1,Yes,11/25/09,8.30231,-25.96013,
268,PAL0910,N35A2,Yes,11/25/09,8.08354,-26.18161,
269,PAL0910,N36A1,Yes,12/1/09,8.04111,-26.18444,
270,PAL0910,N36A2,Yes,12/1/09,8.33825,-25.88547,
271,PAL0910,N38A1,No,12/1/09,7.99184,-26.20538,
272,PAL0910,N38A2,No,12/1/09,,,
273,PAL0910,N39A1,Yes,11/22/09,8.41151,-26.13832,
274,PAL0910,N39A2,Yes,11/22/09,8.30166,-26.04117,
275,PAL0910,N43A1,Yes,11/22/09,8.24246,-26.11969,
276,PAL0910,N43A2,Yes,11/22/09,8.3639,-26.15531,
277,PAL0708,N61A1,No,11/19/07,9.03935,-24.30229,
278,PAL0708,N61A2,No,11/19/07,8.92069,-24.23592,
279,PAL0708,N62A1,Yes,11/26/07,9.29078,-24.7557,
280,PAL0708,N62A2,Yes,11/26/07,8.64701,-24.62717,
281,PAL0708,N64A1,Yes,11/21/07,9.00642,-24.61867,
282,PAL0708,N64A2,Yes,11/21/07,8.88942,-24.49433,
283,PAL0708,N66A1,Yes,11/28/07,8.85664,-24.55644,
284,PAL0708,N66A2,Yes,11/28/07,8.63701,-24.84059,
285,PAL0708,N67A1,Yes,11/21/07,8.47173,-24.29229,
286,PAL0708,N67A2,Yes,11/21/07,8.79581,-24.36088,
287,PAL0708,N68A1,Yes,11/28/07,8.95063,-24.59897,
288,PAL0708,N68A2,Yes,11/28/07,8.68747,-24.38751,
289,PAL0708,N69A1,Yes,11/26/07,8.72037,-24.80526,
290,PAL0708,N69A2,Yes,11/26/07,9.0233,-24.38933,
291,PAL0708,N70A1,Yes,11/22/07,9.12277,-24.90024,
292,PAL0708,N70A2,Yes,11/22/07,9.8059,-24.7294,
293,PAL0708,N71A1,No,11/30/07,10.02019,-24.54704,
294,PAL0708,N71A2,No,11/30/07,9.14382,-24.57994,
295,PAL0708,N72A1,Yes,11/30/07,9.32105,-24.64162,
296,PAL0708,N72A2,Yes,11/30/07,9.27158,-24.64335,
297,PAL0708,N73A1,Yes,12/3/07,9.35138,-24.6879,
298,PAL0708,N73A2,Yes,12/3/07,9.42666,-24.26375,
299,PAL0708,N85A1,No,11/28/07,9.35416,-25.01185,
300,PAL0708,N85A2,No,11/28/07,9.28153,-24.97134,
301,PAL0708,N89A1,No,11/28/07,9.74144,-24.59467,
302,PAL0708,N89A2,No,11/28/07,9.36799,-24.47142,
303,PAL0809,N61A1,No,11/25/08,8.9399,-23.89017,
304,PAL0809,N61A2,No,11/25/08,9.63074,-24.34684,
305,PAL0809,N62A1,Yes,11/14/08,9.37369,-24.52896,
306,PAL0809,N62A2,Yes,11/14/08,9.25177,-24.69638,
307,PAL0809,N63A1,Yes,11/24/08,9.08458,-24.54903,
308,PAL0809,N63A2,Yes,11/24/08,9.49283,-24.59996,
309,PAL0809,N65A1,Yes,11/24/08,9.36668,-24.45195,
310,PAL0809,N65A2,Yes,11/24/08,9.23196,-24.17282,
311,PAL0809,N67A1,Yes,11/25/08,9.75486,-24.31198,
312,PAL0809,N67A2,Yes,11/25/08,9.07825,-25.1455,
313,PAL0809,N69A1,Yes,11/14/08,8.83502,-24.65859,
314,PAL0809,N69A2,Yes,11/14/08,9.43146,-24.6844,
315,PAL0809,N72A1,No,11/24/08,9.80589,-24.73735,
316,PAL0809,N72A2,No,11/24/08,10.02544,-24.90816,
317,PAL0809,N74A1,Yes,11/24/08,9.53262,-24.66867,
318,PAL0809,N74A2,Yes,11/24/08,9.61734,-24.66188,
319,PAL0809,N75A1,Yes,11/14/08,10.02372,-24.86594,
320,PAL0809,N75A2,Yes,11/14/08,9.36493,-24.66259,
321,PAL0910,N86A1,Yes,11/17/09,9.43684,-24.16566,
322,PAL0910,N86A2,Yes,11/17/09,9.45827,-24.35575,
323,PAL0910,N87A1,Yes,11/27/09,9.46819,-24.45721,
324,PAL0910,N87A2,Yes,11/27/09,9.34089,-24.45189,
325,PAL0910,N88A1,Yes,11/23/09,9.6895,-24.43062,
326,PAL0910,N88A2,Yes,11/23/09,9.32169,-24.41562,
327,PAL0910,N90A1,Yes,11/21/09,9.46929,-24.48403,
328,PAL0910,N90A2,Yes,11/21/09,9.43782,-24.36202,
329,PAL0910,N92A1,Yes,11/23/09,9.415,-24.805,
330,PAL0910,N92A2,Yes,11/23/09,9.93727,-24.59066,
331,PAL0910,N93A1,Yes,11/27/09,9.56534,-24.60882,
332,PAL0910,N93A2,Yes,11/27/09,9.77528,-24.56481,
333,PAL0910,N94A1,Yes,11/21/09,9.62357,-24.78984,
334,PAL0910,N94A2,Yes,11/21/09,9.88809,-24.59513,
335,PAL0910,N95A1,Yes,11/21/09,9.74492,-24.404,
336,PAL0910,N95A2,Yes,11/21/09,9.46985,-24.65786,
337,PAL0910,N96A1,Yes,11/27/09,,-23.78767,
338,PAL0910,N96A2,Yes,11/27/09,9.65061,-24.48153,
339,PAL0910,N98A1,Yes,11/19/09,9.26715,-24.31912,
340,PAL0910,N98A2,Yes,11/19/09,9.70465,-24.53494,
341,PAL0910,N99A1,No,11/21/09,9.37608,-24.40753,
342,PAL0910,N99A2,No,11/21/09,9.4618,-24.70615,
343,PAL0910,N100A1,Yes,11/21/09,9.98044,-24.68741,
344,PAL0910,N100A2,Yes,11/21/09,9.39305,-24.25255,
