rowid,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
206,Gentoo,Biscoe,50.1,15,225,5000,male,2008
207,Gentoo,Biscoe,46.5,14.4,217,4900,female,2008
208,Gentoo,Biscoe,45,15.4,220,5050,male,2008
209,Gentoo,Biscoe,43.8,13.9,208,4300,female,2008
210,Gentoo,Biscoe,45.5,15,220,5000,male,2008
211,Gentoo,Biscoe,43.2,14.5,208,4450,female,2008
212,Gentoo,Biscoe,50.4,15.3,224,5550,male,2008
213,Gentoo,Biscoe,45.3,13.8,208,4200,female,2008
214,Gentoo,Biscoe,46.2,14.9,221,5300,male,2008
215,Gentoo,Biscoe,45.7,13.9,214,4400,female,2008
216,Gentoo,Biscoe,54.3,15.7,231,5650,male,2008
217,Gentoo,Biscoe,45.8,14.2,219,4700,female,2008
218,Gentoo,Biscoe,49.8,16.8,230,5700,male,2008
219,Gentoo,Biscoe,46.2,14.4,214,4650,NA,2008
220,Gentoo,Biscoe,49.5,16.2,229,5800,male,2008
221,Gentoo,Biscoe,43.5,14.2,220,4700,female,2008
222,Gentoo,Biscoe,50.7,15,223,5550,male,2008
223,Gentoo,Biscoe,47.7,15,216,4750,female,2008
224,Gentoo,Biscoe,46.4,15.6,221,5000,male,2008
225,Gentoo,Biscoe,48.2,15.6,221,5100,male,2008
226,Gentoo,Biscoe,46.5,14.8,217,5200,female,2008
227,Gentoo,Biscoe,46.4,15,216,4700,female,2008
228,Gentoo,Biscoe,48.6,16,230,5800,male,2008
229,Gentoo,Biscoe,47.5,14.2,209,4600,female,2008
230,Gentoo,Biscoe,51.1,16.3,220,6000,male,2008
231,Gentoo,Biscoe,45.2,13.8,215,4750,female,2008
232,Gentoo,Biscoe,45.2,16.4,223,5950,male,2008
233,Gentoo,Biscoe,49.1,14.5,212,4625,female,2009
234,Gentoo,Biscoe,52.5,15.6,221,5450,male,2009
235,Gentoo,Biscoe,47.4,14.6,212,4725,female,2009
236,Gentoo,Biscoe,50,15.9,224,5350,male,2009
237,Gentoo,Biscoe,44.9,13.8,212,4750,female,2009
238,Gentoo,Biscoe,50.8,17.3,228,5600,male,2009
239,Gentoo,Biscoe,43.4,14.4,218,4600,female,2009
240,Gentoo,Biscoe,51.3,14.2,218,5300,male,2009
241,Gentoo,Biscoe,47.5,14,212,4875,female,2009
242,Gentoo,Biscoe,52.1,17,230,5550,male,2009
243,Gentoo,Biscoe,47.5,15,218,4950,female,2009
244,Gentoo,Biscoe,52.2,17.1,228,5400,male,2009
245,Gentoo,Biscoe,45.5,14.5,212,4750,female,2009
246,Gentoo,Biscoe,49.5,16.1,224,5650,male,2009
247,Gentoo,Biscoe,44.5,14.7,214,4850,female,2009
248,Gentoo,Biscoe,50.8,15.7,226,5200,male,2009
249,Gentoo,Biscoe,49.4,15.8,216,4925,male,2009
250,Gentoo,Biscoe,46.9,14.6,222,4875,female,2009
251,Gentoo,Biscoe,48.4,14.4,203,4625,female,2009
252,Gentoo,Biscoe,51.1,16.5,225,5250,male,2009
253,Gentoo,Biscoe,48.5,15,219,4850,female,2009
254,Gentoo,Biscoe,55.9,17,228,5600,male,2009
255,Gentoo,Biscoe,47.2,15.5,215,4975,female,2009
256,Gentoo,Biscoe,49.1,15,228,5500,male,2009
257,Gentoo,Biscoe,47.3,13.8,216,4725,NA,2009
258,Gentoo,Biscoe,46.8,16.1,215,5500,male,2009
259,Gentoo,Biscoe,41.7,14.7,210,4700,female,2009
260,Gentoo,Biscoe,53.4,15.8,219,5500,male,2009
261,Gentoo,Biscoe,43.3,14,208,4575,female,2009
262,Gentoo,Biscoe,48.1,15.1,209,5500,male,2009
263,Gentoo,Biscoe,50.5,15.2,216,5000,female,2009
264,Gentoo,Biscoe,49.8,15.9,229,5950,male,2009
265,Gentoo,Biscoe,43.5,15.2,213,4650,female,2009
266,Gentoo,Biscoe,51.5,16.3,230,5500,male,2009
267,Gentoo,Biscoe,46.2,14.1,217,4375,female,2009
268,Gentoo,Biscoe,55.1,16,230,5850,male,2009
269,Gentoo,Biscoe,44.5,15.7,217,4875,NA,2009
270,Gentoo,Biscoe,48.8,16.2,222,6000,male,2009
271,Gentoo,Biscoe,47.2,13.7,214,4925,female,2009
272,Gentoo,Biscoe,NA,NA,NA,NA,NA,2009
273,Gentoo,Biscoe,46.8,14.3,215,4850,female,2009
274,Gentoo,Biscoe,50.4,15.7,222,5750,male,2009
275,Gentoo,Biscoe,45.2,14.8,212,5200,female,2009
276,Gentoo,Biscoe,49.9,16.1,213,5400,male,2009
