rowid,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
91,Adelie,Dream,35.7,18,202,3550,female,2008
92,Adelie,Dream,41.1,18.1,205,4300,male,2008
93,Adelie,Dream,34,17.1,185,3400,female,2008
94,Adelie,Dream,39.6,18.1,186,4450,male,2008
95,Adelie,Dream,36.2,17.3,187,3300,female,2008
96,Adelie,Dream,40.8,18.9,208,4300,male,2008
97,Adelie,Dream,38.1,18.6,190,3700,female,2008
98,Adelie,Dream,40.3,18.5,196,4350,male,2008
99,Adelie,Dream,33.1,16.1,178,2900,female,2008
100,Adelie,Dream,43.2,18.5,192,4100,male,2008
101,Adelie,Biscoe,35,17.9,192,3725,female,2009
102,Adelie,Biscoe,41,20,203,4725,male,2009
103,Adelie,Biscoe,37.7,16,183,3075,female,2009
104,Adelie,Biscoe,37.8,20,190,4250,male,2009
105,Adelie,Biscoe,37.9,18.6,193,2925,female,2009
106,Adelie,Biscoe,39.7,18.9,184,3550,male,2009
107,Adelie,Biscoe,38.6,17.2,199,3750,female,2009
108,Adelie,Biscoe,38.2,20,190,3900,male,2009
109,Adelie,Biscoe,38.1,17,181,3175,female,2009
110,Adelie,Biscoe,43.2,19,197,4775,male,2009
111,Adelie,Biscoe,38.1,16.5,198,3825,female,2009
112,Adelie,Biscoe,45.6,20.3,191,4600,male,2009
113,Adelie,Biscoe,39.7,17.7,193,3200,female,2009
114,Adelie,Biscoe,42.2,19.5,197,4275,male,2009
115,Adelie,Biscoe,39.6,20.7,191,3900,female,2009
116,Adelie,Biscoe,42.7,18.3,196,4075,male,2009
117,Adelie,Torgersen,38.6,17,188,2900,female,2009
118,Adelie,Torgersen,37.3,20.5,199,3775,male,2009
119,Adelie,Torgersen,35.7,17,189,3350,female,2009
120,Adelie,Torgersen,41.1,18.6,189,3325,male,2009
121,Adelie,Torgersen,36.2,17.2,187,3150,female,2009
122,Adelie,Torgersen,37.7,19.8,198,3500,male,2009
123,Adelie,Torgersen,40.2,17,176,3450,female,2009
124,Adelie,Torgersen,41.4,18.5,202,3875,male,2009
125,Adelie,Torgersen,35.2,15.9,186,3050,female,2009
126,Adelie,Torgersen,40.6,19,199,4000,male,2009
127,Adelie,Torgersen,38.8,17.6,191,3275,female,2009
128,Adelie,Torgersen,41.5,18.3,195,4300,male,2009
129,Adelie,Torgersen,39,17.1,191,3050,female,2009
130,Adelie,Torgersen,44.1,18,210,4000,male,2009
131,Adelie,Torgersen,38.5,17.9,190,3325,female,2009
132,Adelie,Torgersen,43.1,19.2,197,3500,male,2009
133,Adelie,Dream,36.8,18.5,193,3500,female,2009
134,Adelie,Dream,37.5,18.5,199,4475,male,2009
135,Adelie,Dream,38.1,17.6,187,3425,female,2009
136,Adelie,Dream,41.1,17.5,190,3900,male,2009
137,Adelie,Dream,35.6,17.5,191,3175,female,2009
138,Adelie,Dream,40.2,20.1,200,3975,male,2009
139,Adelie,Dream,37,16.5,185,3400,female,2009
140,Adelie,Dream,39.7,17.9,193,4250,male,2009
141,Adelie,Dream,40.2,17.1,193,3400,female,2009
142,Adelie,Dream,40.6,17.2,187,3475,male,2009
143,Adelie,Dream,32.1,15.5,188,3050,female,2009
144,Adelie,Dream,40.7,17,190,3725,male,2009
145,Adelie,Dream,37.3,16.8,192,3000,female,2009
146,Adelie,Dream,39,18.7,185,3650,male,2009
147,Adelie,Dream,39.2,18.6,190,4250,male,2009
148,Adelie,Dream,36.6,18.4,184,3475,female,2009
149,Adelie,Dream,36,17.8,195,3450,female,2009
150,Adelie,Dream,37.8,18.1,193,3750,male,2009
151,Adelie,Dream,36,17.1,187,3700,female,2009
152,Adelie,Dream,41.5,18.5,201,4000,male,2009
